rank,folder,model,config_name,recall,f1,cost,train_size
128,128_gradient_boosting_phishing_trigram_10000,gradient_boosting,phishing_trigram,0.9506641366223909,0.9493131217432497,0.2875,10000
129,129_naive_bayes_basic_phishing_10000,naive_bayes,basic_phishing,0.9506641366223909,0.9667149059334298,0.2685,10000
130,130_naive_bayes_basic_phishing_10000,naive_bayes,basic_phishing,0.9487666034155597,0.966183574879227,0.278,10000
131,131_gradient_boosting_basic_phishing_10000,gradient_boosting,basic_phishing,0.9487666034155597,0.9487666034155597,0.297,10000
132,132_gradient_boosting_phishing_bigram_10000,gradient_boosting,phishing_bigram,0.9459203036053131,0.9463692453725676,0.313,10000
133,133_gradient_boosting_phishing_bigram_10000,gradient_boosting,phishing_bigram,0.9459203036053131,0.9495238095238095,0.3095,10000
134,134_gradient_boosting_basic_phishing_10000,gradient_boosting,basic_phishing,0.9449715370018975,0.9494756911344138,0.314,10000
135,135_gradient_boosting_phishing_trigram_10000,gradient_boosting,phishing_trigram,0.9449715370018975,0.9485714285714286,0.315,10000
136,136_naive_bayes_phishing_bigram_10000,naive_bayes,phishing_bigram,0.9411764705882353,0.9645114244044726,0.3155,10000
137,137_gradient_boosting_basic_phishing_10000,gradient_boosting,basic_phishing,0.9402277039848197,0.9496885481552467,0.336,10000
138,138_naive_bayes_phishing_bigram_10000,naive_bayes,phishing_bigram,0.9402277039848197,0.9649464459591042,0.3195,10000
139,139_naive_bayes_phishing_stem_nostop_10000,naive_bayes,phishing_stem_nostop,0.9392789373814042,0.9611650485436893,0.328,10000
140,140_naive_bayes_phishing_stem_nostop_10000,naive_bayes,phishing_stem_nostop,0.9383301707779886,0.9620622568093385,0.3315,10000
141,141_naive_bayes_phishing_bigram_10000,naive_bayes,phishing_bigram,0.9364326375711575,0.9629268292682926,0.3395,10000
142,142_naive_bayes_phishing_char_ngram_10000,naive_bayes,phishing_char_ngram,0.9354838709677419,0.9554263565891473,0.352,10000
143,143_naive_bayes_phishing_stem_nostop_10000,naive_bayes,phishing_stem_nostop,0.9345351043643264,0.9591041869522883,0.3525,10000
144,144_naive_bayes_phishing_mixed_features_10000,naive_bayes,phishing_mixed_features,0.9316888045540797,0.958984375,0.366,10000
145,145_naive_bayes_phishing_char_ngram_10000,naive_bayes,phishing_char_ngram,0.9307400379506642,0.9542801556420234,0.3755,10000
146,146_naive_bayes_phishing_char_ngram_10000,naive_bayes,phishing_char_ngram,0.9278937381404174,0.9532163742690059,0.39,10000
147,147_naive_bayes_phishing_mixed_features_10000,naive_bayes,phishing_mixed_features,0.9278937381404174,0.9574155653450808,0.3855,10000
148,148_naive_bayes_phishing_mixed_features_10000,naive_bayes,phishing_mixed_features,0.926944971537002,0.956436612824278,0.391,10000
149,149_naive_bayes_phishing_trigram_10000,naive_bayes,phishing_trigram,0.9212523719165086,0.9538310412573674,0.4205,10000
150,150_naive_bayes_phishing_trigram_10000,naive_bayes,phishing_trigram,0.9165085388994307,0.9521931986200098,0.4445,10000
151,151_naive_bayes_phishing_trigram_10000,naive_bayes,phishing_trigram,0.9146110056925996,0.9511593487913172,0.4545,10000
152,152_naive_bayes_phishing_advanced_10000,naive_bayes,phishing_advanced,0.9060721062618596,0.9478908188585607,0.498,10000
153,153_naive_bayes_phishing_advanced_10000,naive_bayes,phishing_advanced,0.9013282732447818,0.9457441513190642,0.5225,10000
154,154_naive_bayes_phishing_advanced_10000,naive_bayes,phishing_advanced,0.9003795066413662,0.9452191235059761,0.5275,10000
155,155_naive_bayes_phishing_count_vector_10000,naive_bayes,phishing_count_vector,0.8690702087286527,0.92806484295846,0.692,10000
156,156_naive_bayes_phishing_count_vector_10000,naive_bayes,phishing_count_vector,0.8681214421252372,0.927521540800811,0.697,10000
157,157_naive_bayes_phishing_count_vector_10000,naive_bayes,phishing_count_vector,0.8595825426944972,0.9226069246435845,0.742,10000
